skill_match_percentage,critical_skill_match_percentage,missing_skills_count,critical_missing_skills_count,project_relevance_score,certification_relevance_score,internship_relevance_score,resume_completeness_score,keyword_match_score,role_category_match_score,readiness_label
40.1,21.3,5.0,3.0,4.7,4.7,4.5,78.4,31.2,39.8,0.0
91.2,84.0,3.0,0.0,8.3,5.7,9.5,91.6,85.6,81.9,3.0
45.9,25.1,6.0,4.0,4.0,5.6,3.6,89.5,45.1,54.8,0.0
56.8,63.1,9.0,2.0,1.2,1.6,1.4,74.7,34.0,42.5,0.0
80.2,87.4,2.0,0.0,8.8,5.0,8.9,77.6,99.7,91.0,3.0
67.7,62.1,5.0,2.0,5.0,2.8,0.3,57.0,58.7,39.6,0.0
32.9,52.1,5.0,3.0,4.7,3.8,3.7,81.7,44.5,74.9,0.0
72.4,57.8,5.0,3.0,5.0,3.0,0.3,89.9,51.2,73.7,0.0
92.0,94.4,2.0,1.0,7.3,6.6,7.8,67.4,81.6,87.5,3.0
41.4,63.5,9.0,3.0,1.8,5.3,9.9,99.0,92.5,44.6,0.0
97.0,81.2,0.0,0.0,9.2,8.9,9.9,72.5,91.5,98.7,3.0
78.0,50.3,8.0,3.0,4.6,2.8,8.0,96.4,88.8,41.2,0.0
76.5,94.2,0.0,0.0,9.6,4.4,7.0,92.1,78.3,98.4,3.0
69.4,59.2,5.0,2.0,1.5,3.0,8.8,94.7,92.9,74.3,1.0
86.2,83.8,3.0,0.0,7.8,5.5,9.7,87.2,88.8,76.3,3.0
76.0,68.4,10.0,3.0,1.8,3.4,1.1,71.2,45.2,74.3,0.0
48.3,42.8,9.0,5.0,1.8,2.1,4.8,80.8,59.9,32.6,0.0
33.7,62.6,8.0,2.0,5.3,0.5,0.3,52.1,67.7,55.6,0.0
91.4,81.6,2.0,1.0,7.6,8.3,7.0,83.4,82.5,82.9,3.0
100.0,89.2,0.0,0.0,8.6,7.0,6.5,71.4,81.1,82.1,3.0
79.1,35.1,10.0,2.0,4.3,3.9,4.7,87.6,40.6,70.0,0.0
80.3,85.6,2.0,0.0,9.1,9.1,8.0,88.2,76.3,90.9,3.0
78.3,86.7,2.0,0.0,9.2,7.3,7.7,71.5,97.1,97.6,3.0
33.1,49.1,5.0,2.0,2.5,6.3,9.6,99.1,86.1,41.2,0.0
76.1,27.7,10.0,3.0,5.9,5.7,4.4,84.7,43.3,71.9,0.0
39.7,60.5,10.0,2.0,2.9,0.3,2.4,88.4,44.0,66.9,0.0
85.0,93.2,2.0,3.0,2.5,5.7,8.6,89.6,88.4,98.5,2.0
31.0,33.3,7.0,4.0,4.6,2.2,3.0,77.7,53.1,41.5,0.0
88.5,98.5,1.0,1.0,8.3,9.7,9.7,96.6,78.1,97.5,3.0
63.3,36.3,8.0,3.0,2.0,4.7,1.9,91.7,52.8,48.3,0.0
